ethnic,method,rsquared,clump_rsquared,improve
EUR,LDPred,0.079808332,0.018389973,3.33977428895627
EUR,AnnoPred,0.08470701,0.018389973,3.60615195030466
SAS,LDPred,0.024830732,0.003869772,5.41658785065373
SAS,AnnoPred,0.02642148,0.003869772,5.82765806357584
EAS,LDPred,0.039574932,0.00905441,3.3707908080151
EAS,AnnoPred,0.041157444,0.00905441,3.54556884435319
AFR,LDPred,0.031737063,0.005610069,4.65716090122956
AFR,AnnoPred,0.028982592,0.005610069,4.16617389197887
