ethnic,method,rsquared,clump_rsquared,improve
EUR,LDPred,0.0700003879995003,0.0607024443057743,0.15317247600261
EUR,AnnoPred,0.0800621968322157,0.0607024443057743,0.318928714450463
SAS,LDPred,0.0275485056942217,0.0178410170192389,0.54411072331329
SAS,AnnoPred,0.0337229780100205,0.0178410170192389,0.890193702167049
EAS,LDPred,0.0572932798790699,0.0395214734107548,0.449674694149407
EAS,AnnoPred,0.0668515124095651,0.0395214734107548,0.691523787961132
AFR,LDPred,0.0303971660989287,0.0296803451843819,0.0241513671789773
AFR,AnnoPred,0.0387525583160628,0.0296803451843819,0.305664003411079
