ethnic,method,rsquared,clump_rsquared,improve
EUR,LDPred,0.0661653177683257,0.0391195217280049,0.691363156951872
EUR,AnnoPred,0.0709758220280942,0.0391195217280049,0.814332560647949
SAS,LDPred,0.0732970820410664,0.0581649400228547,0.260159161382541
SAS,AnnoPred,0.0734078675863231,0.0581649400228547,0.262063840476394
EAS,LDPred,0.0388591778288847,0.0390018424561163,-0.00365789455695901
EAS,AnnoPred,0.0434874768017744,0.0390018424561163,0.11501083187814
AFR,LDPred,0.00922777131284078,0.00660170252155608,0.397786598640272
AFR,AnnoPred,0.0120856121005863,0.00660170252155608,0.830681110080921
